"coral_tag","host_species","expedition","health_status","max_colony_width"
"182","Montipora aequituberculata","2014","alive","68.701"
"182","Montipora aequituberculata","2017","dead",NA
"184","Pocillopora grandis","2014","alive","20.732"
"184","Pocillopora grandis","2017","dead or gone",NA
"185","Montipora aequituberculata","2014","alive","80.737"
"185","Montipora aequituberculata","2017","dead",NA
"185b","Montipora aequituberculata","2015c","alive","35.891"
"185b","Montipora aequituberculata","2017","dead",NA
"186","Pocillopora grandis","2014","alive","23.343"
"189","Pocillopora grandis","2014","alive","32.98"
"189","Pocillopora grandis","2015c","alive","40.142"
"193","Pocillopora grandis","2014","alive","29.123"
"193","Pocillopora grandis","2015c","alive","56.193"
"193","Pocillopora grandis","2016a","dead",NA
"196","Pocillopora grandis","2014","alive","30.818"
"196","Pocillopora grandis","2016a","dead",NA
"198","Montipora aequituberculata","2014","alive","22.85"
"198","Montipora aequituberculata","2015c","alive","25.413"
"198","Montipora aequituberculata","2016a","dead",NA
"201","Pocillopora grandis","2014","alive","48.848"
"201","Pocillopora grandis","2015c","alive","46.19"
"201","Pocillopora grandis","2016a","dead",NA
"204","Pocillopora grandis","2014","alive","36.883"
"209","Pocillopora grandis","2014","alive","50.21"
"209","Pocillopora grandis","2015c","alive","63.605"
"209","Pocillopora grandis","2019","dead or gone",NA
"210","Montipora aequituberculata","2014","alive","55.309"
"210","Montipora aequituberculata","2015c","alive","59.436"
"210","Montipora aequituberculata","2019","dead or gone",NA
"211","Montipora aequituberculata","2014","alive","71.238"
"211","Montipora aequituberculata","2015c","alive","43.562"
"211","Montipora aequituberculata","2019","dead or gone",NA
"215","Pocillopora grandis","2014","alive","27.839"
"215","Pocillopora grandis","2015c","alive","36.498"
"215","Pocillopora grandis","2017","dead","NA"
"216","Pocillopora grandis","2014","alive","61.169"
"216","Pocillopora grandis","2019","dead or gone",NA
"216b","Pocillopora grandis","2015c","alive",NA
"216b","Pocillopora grandis","2019","dead or gone",NA
"217","Pocillopora grandis","2014","alive","29.91"
