"library_ID","Clade","Profile","Count","Count_sum","Count_freq","fastq_fwd_file_name","fastq_rev_file_name","host_genus","host_species","coral_tag","site_name","sequencing_run","expedition","sample_name","sra_accession","pub.name","lat","lon","level","continous.pressure.2km","expedition_class"
"30-15C_S18_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",14442,14442,1,"30-15C_S18_L001_R1_001.fastq.gz","30-15C_S18_L001_R2_001.fastq.gz","Pocillopora","grandis","660",19,"Bleaching3_run","2015c","KI15c_30","SAMN49903564","VL2",1.80255,-157.27339,1,0,"2_during"
"316-15C_S116_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",16395,18344,0.893752725686873,"316-15C_S116_L001_R1_001.fastq.gz","316-15C_S116_L001_R2_001.fastq.gz","Pocillopora","grandis","132b",30,"Bleaching3_run","2015c","KI15c_316","SAMN49903591","VH3",2.02572,-157.498,5,5085.684783,"2_during"
"316-15C_S116_L001","D","D1-D1as-D1ax-D4-D6-D1at-D1aw",1949,18344,0.106247274313127,"316-15C_S116_L001_R1_001.fastq.gz","316-15C_S116_L001_R2_001.fastq.gz","Pocillopora","grandis","132b",30,"Bleaching3_run","2015c","KI15c_316","SAMN49903591","VH3",2.02572,-157.498,5,5085.684783,"2_during"
"633-KI23b_S326_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",7158,8366,0.855606024384413,"633-KI23b_S326_L001_R1_001.fastq.gz","633-KI23b_S326_L001_R2_001.fastq.gz","Pocillopora","grandis","2094",27,"run10_shedd2024","2023b","KI23b_633","SAMN49904282","VH1",2.00973,-157.48941,5,7276,"4_longafter"
"633-KI23b_S326_L001","D","D1-D1ax-D1as-D4-D1at-D6-D1au-D1av",1208,8366,0.144393975615587,"633-KI23b_S326_L001_R1_001.fastq.gz","633-KI23b_S326_L001_R2_001.fastq.gz","Pocillopora","grandis","2094",27,"run10_shedd2024","2023b","KI23b_633","SAMN49904282","VH1",2.00973,-157.48941,5,7276,"4_longafter"
"129-KI23b_S226_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",14114,17856,0.79043458781362,"129-KI23b_S226_L001_R1_001.fastq.gz","129-KI23b_S226_L001_R2_001.fastq.gz","Pocillopora","grandis","1448",32,"run10_shedd2024","2023b","KI23b_129","SAMN49904305","VH2",1.984,-157.482,5,4860.745702,"4_longafter"
"129-KI23b_S226_L001","D","D1/D1as-D1ax-D4-D1at-D6-D1au-D1aw-D1av",3742,17856,0.20956541218638,"129-KI23b_S226_L001_R1_001.fastq.gz","129-KI23b_S226_L001_R2_001.fastq.gz","Pocillopora","grandis","1448",32,"run10_shedd2024","2023b","KI23b_129","SAMN49904305","VH2",1.984,-157.482,5,4860.745702,"4_longafter"
"PLATE2A10_S169_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",6289,7326,0.858449358449358,"PLATE2A10_S169_L001_R1_001.fastq.gz","PLATE2A10_S169_L001_R2_001.fastq.gz","Pocillopora","grandis","1351",27,"SheddRun_Dec2020","2019","KI19_288","SAMN49904085","VH1",2.00973,-157.48941,5,7276,"3_after"
"PLATE2A10_S169_L001","D","D1/D1ax-D1at-D1as-D6-D4-D1av",1037,7326,0.141550641550642,"PLATE2A10_S169_L001_R1_001.fastq.gz","PLATE2A10_S169_L001_R2_001.fastq.gz","Pocillopora","grandis","1351",27,"SheddRun_Dec2020","2019","KI19_288","SAMN49904085","VH1",2.00973,-157.48941,5,7276,"3_after"
"65-KI23b_S342_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",9723,11624,0.836459050240881,"65-KI23b_S342_L001_R1_001.fastq.gz","65-KI23b_S342_L001_R2_001.fastq.gz","Pocillopora","grandis","1500",30,"run10_shedd2024","2023b","KI23b_65","SAMN49904289","VH3",2.02572,-157.498,5,5085.684783,"4_longafter"
"65-KI23b_S342_L001","D","D1/D1as-D1ax-D4-D1at-D6-D1au-D1aw-D1av",1901,11624,0.163540949759119,"65-KI23b_S342_L001_R1_001.fastq.gz","65-KI23b_S342_L001_R2_001.fastq.gz","Pocillopora","grandis","1500",30,"run10_shedd2024","2023b","KI23b_65","SAMN49904289","VH3",2.02572,-157.498,5,5085.684783,"4_longafter"
