coral_tag,max_colony_width,expedition
823,24.881,2015c
796,24.9,2015b
1235,24.908,2018
179,24.927,2014
1953,25.008,2023b
890,25.093,2015c
599,25.113,2015c
301,25.229,2014
3,25.265,2015c
603,25.306,2015c
1751,25.371,2023b
848,25.376,2015b
427,25.445,2014
663,25.45,2015b
1295,25.453,2019
2067,25.454,2023b
1640,25.464,2023b
135,25.491,2014
13,25.534,2014
1493,25.581,2023b
469,25.625,2014
13,25.73,2015a
997,25.755,2018
92,25.783,2015c
750,25.8,2015c
355,25.828,2014
1960,25.848,2023b
86,25.881,2014
764,25.883,2015b
498,26.044,2015b
82,26.08,2014
1831,26.099,2023b
491,26.133,2015b
1789,26.267,2023b
997,26.289,2019
1578,26.341,2023b
1362,26.372,2019
422,26.383,2014
149,26.419,2015b
419,26.439,2014
426,26.493,2014
632,26.519,2015a
2020,26.542,2023b
660,26.542,2015b
365,26.59,2014
887,26.627,2015c
1318,26.647,2019
477,26.679,2015c 
1735,26.736,2023b
778,26.781,2015c
481,26.795,2015b
312,26.81,2014
622,26.975,2015a
636,27.069,2015b
852,27.084,2015b
1583,27.154,2023b
1724,27.155,2023b
23,27.192,2014
757,27.204,2015b
84,27.298,2015b
582b,27.327,2015c
1907,27.332,2023b
672,27.384,2015b
848,27.405,2015c
1468,27.409,2023b
432,27.451,2014
52,27.461,2014
1347,27.515,2019
355,27.516,2015c
20,27.532,2014
757,27.651,2015c
413,27.764,2014
215,27.839,2014
86,27.844,2015b
123,27.935,2015c
1487,27.951,2023b
159,27.975,2015c
2195,27.978,2023b
498,28.012,2015c
1674,28.076,2023b
579,28.15,2015c
13,28.16,2015c
2155,28.209,2023b
135,28.267,2015a
1365,28.289,2019
316,28.393,2014
1557,28.432,2023b
481,28.441,2014
1841,28.457,2023b
672,28.458,2015c 
106b,28.479,2015c
1681,28.513,2023b
67,28.59,2014
152,28.63,2015c
9,28.633,2014
1515,28.72,2023b
2163,28.793,2023b
1413,28.816,2023b
282,28.823,2014
129,28.828,2015a
123,28.95,2014
1442,28.951,2023b
1328,28.96,2023b
336,29.111,2015b
193,29.123,2014
114,29.161,2015b
109,29.172,2015b
1924,29.177,2023b
2099,29.312,2023b
1295,29.328,2023b
759,29.393,2015c
505,29.396,2014
589,29.417,2015c
1363,29.444,2019
1695,29.454,2023b
92,29.539,2015b
589,29.545,2015a
1500,29.594,2023b
765,29.64,2015c
287,29.681,2014
2040,29.711,2023b
88,29.8,2015b
833,29.883,2015c
1560,29.888,2023b
1404,29.91,2023b
217,29.91,2014
997,29.985,2016a
2098,29.989,2023b
731,30.002,2015c
84,30.081,2015a
1613,30.087,2023b
756,30.116,2015c
109,30.117,2015a
152,30.14,2015b
882,30.15,2015c
606,30.199,2015a
39,30.319,2014
331,30.454,2015b
2118,30.459,2023b
833,30.632,2015b
228,30.709,2014
819,30.74,2015b
305,30.748,2014
254,30.769,2014
196,30.818,2014
881,30.855,2015c
825,30.868,2015b
2177,30.918,2023b
1480,31.033,2023b
1225,31.101,2019
491,31.12,2014
2037,31.141,2023b
1187,31.16,2023b
120,31.389,2015b
799,31.428,2015c
436,31.472,2014
679,31.493,2015b
50b,31.527,2015a
71,31.563,2014
663,31.675,2015c 
135,31.702,2015c
2079,31.74,2023b
1318,31.744,2018
145,31.864,2015c
174b,31.898,2015c
1351,31.966,2019
785,32.042,2015b
450,32.109,2014
2075,32.125,2023b
679,32.128,2015c
803,32.158,2015b
135,32.194,2015b
1863,32.249,2023b
485,32.3,2014
796,32.302,2015c
477b,32.303,2015c
896,32.369,2016a
1812,32.554,2023b
163,32.556,2014
1388,32.691,2019
362,32.706,2014
1979,32.728,2023b
509,32.957,2014
189,32.98,2014
896,32.992,2016b
159,33.001,2014
88,33.144,2015a
611,33.157,2015a
836,33.204,2015b
1959,33.245,2023b
13,33.393,2015b
331,33.527,2014
3,33.839,2015b
885,33.87,2015c
1417,33.894,2023b
799,33.978,2015b
764,33.979,2016a
132,34.012,2014
149,34.117,2015a
2207,34.192,2023b
785,34.236,2015c
1187,34.307,2019
120,34.336,2015c
125,34.4,2014
896,34.444,2017
261,34.463,2014
149,34.614,2015c
1389,34.631,2019
1396,34.671,2023b
825,34.673,2015c
764,34.694,2015c
233,34.774,2014
427,34.781,2015b
852,34.805,2015c
617,34.921,2015c
154,35.035,2015c
114,35.152,2015c
814,35.153,2015c
611,35.179,2015c
166,35.233,2014
365,35.25,2015c
469,35.265,2015a
303,35.269,2014
674,35.286,2015b
2172,35.311,2023b
494,35.39,2014
440,35.429,2014
791,35.433,2015b
491,35.666,2015c
896,35.945,2018
814,36.195,2015b
901,36.218,2016a
154,36.309,2014
372,36.485,2014
215,36.498,2015c
204,36.883,2014
132b,36.945,2015b
582b,36.993,2015b
109,37.712,2014
228,37.887,2015c
586,38.008,2015a
427,38.012,2015c
830,38.476,2015b
843,38.762,2015b
819,39.114,2015c
896,39.225,2023b
436,39.236,2015b
362,39.273,2015b
291,39.402,2014
222,39.426,2014
1835,39.564,2023b
109,39.72,2015c 
359,39.849,2015b
1892,39.858,2023b
674,39.953,2015c
189,40.142,2015c
166,40.671,2015c
901,41.198,2017
422,41.386,2015c
106,41.399,2015b
1720,41.463,2023b
809,41.746,2015b
129,42.267,2015b
132,42.592,2015a
86,42.672,2015c
622,42.707,2015c
830,43.298,2015c
498,43.369,2014
896,43.421,2019
30,43.535,2014
2162,43.864,2023b
809,44.06,2015c
359,44.253,2014
